name,MS-SSIM,PSNR,category,quality,size
00007_SD_medium_pipeline_1.png,0.961845,36.5164,pipeline_1,medium,SD
00007_SD_medium_pipeline_2.png,0.952817,33.7917,pipeline_2,medium,SD
00007_SD_medium_pipeline_3.png,0.962143,36.3734,pipeline_3,medium,SD
00007_SD_medium_pipeline_4.png,0.979604,40.903,pipeline_4,medium,SD
00007_SD_medium_pipeline_5.png,0.962607,35.5426,pipeline_5,medium,SD
00007_SD_medium_pipeline_6.png,0.950564,35.1683,pipeline_6,medium,SD
00008_1K_high_pipeline_1.png,0.974679,37.3021,pipeline_1,high,1K
00008_1K_high_pipeline_2.png,0.961235,34.7032,pipeline_2,high,1K
00008_1K_high_pipeline_3.png,0.977351,38.2008,pipeline_3,high,1K
00008_1K_high_pipeline_4.png,0.958627,36.0065,pipeline_4,high,1K
00008_1K_high_pipeline_5.png,0.974067,37.2829,pipeline_5,high,1K
00008_1K_high_pipeline_6.png,0.967484,35.7936,pipeline_6,high,1K
00008_1K_low_pipeline_1.png,0.945862,34.3904,pipeline_1,low,1K
00008_1K_low_pipeline_2.png,0.947436,33.8079,pipeline_2,low,1K
00008_1K_low_pipeline_3.png,0.951832,35.294,pipeline_3,low,1K
00008_1K_low_pipeline_4.png,0.948329,34.7536,pipeline_4,low,1K
00008_1K_low_pipeline_5.png,0.981778,39.5503,pipeline_5,low,1K
00008_1K_low_pipeline_6.png,0.944245,34.6009,pipeline_6,low,1K
00008_1K_medium_pipeline_1.png,0.955804,35.432,pipeline_1,medium,1K
00008_1K_medium_pipeline_2.png,0.978784,39.277,pipeline_2,medium,1K
00008_1K_medium_pipeline_3.png,0.961729,36.5236,pipeline_3,medium,1K
00008_1K_medium_pipeline_4.png,0.95467,35.6506,pipeline_4,medium,1K
00008_1K_medium_pipeline_5.png,0.965901,36.2817,pipeline_5,medium,1K
00008_1K_medium_pipeline_6.png,0.95428,35.5811,pipeline_6,medium,1K
00008_SD_high_pipeline_1.png,0.974116,37.0228,pipeline_1,high,SD
00008_SD_high_pipeline_2.png,0.981368,39.8102,pipeline_2,high,SD
00008_SD_high_pipeline_3.png,0.988954,43.5988,pipeline_3,high,SD
00008_SD_high_pipeline_4.png,0.958684,35.9123,pipeline_4,high,SD
00008_SD_high_pipeline_5.png,0.971177,36.5407,pipeline_5,high,SD
00008_SD_high_pipeline_6.png,0.972163,37.6395,pipeline_6,high,SD
00008_SD_low_pipeline_1.png,0.945005,34.2912,pipeline_1,low,SD
00008_SD_low_pipeline_2.png,0.949379,33.7568,pipeline_2,low,SD
00008_SD_low_pipeline_3.png,0.956184,35.4532,pipeline_3,low,SD
00008_SD_low_pipeline_4.png,0.947316,34.6064,pipeline_4,low,SD
00008_SD_low_pipeline_5.png,0.954385,34.787,pipeline_5,low,SD
00008_SD_low_pipeline_6.png,0.941843,34.2384,pipeline_6,low,SD
00008_SD_medium_pipeline_1.png,0.95485,35.1924,pipeline_1,medium,SD
00008_SD_medium_pipeline_2.png,0.953076,33.91,pipeline_2,medium,SD
00008_SD_medium_pipeline_3.png,0.94699,33.9026,pipeline_3,medium,SD
00008_SD_medium_pipeline_4.png,0.956178,35.5112,pipeline_4,medium,SD
00008_SD_medium_pipeline_5.png,0.963678,35.8272,pipeline_5,medium,SD
00008_SD_medium_pipeline_6.png,0.951856,35.3263,pipeline_6,medium,SD
00009_1K_high_pipeline_1.png,0.971012,36.4727,pipeline_1,high,1K
00009_1K_high_pipeline_2.png,0.96193,35.0446,pipeline_2,high,1K
00009_1K_high_pipeline_3.png,0.975459,37.9278,pipeline_3,high,1K
00009_1K_high_pipeline_4.png,0.958082,36.0879,pipeline_4,high,1K
00009_1K_high_pipeline_5.png,0.973103,37.1936,pipeline_5,high,1K
00009_1K_high_pipeline_6.png,0.974602,38.295,pipeline_6,high,1K
00009_1K_low_pipeline_1.png,0.936375,33.6345,pipeline_1,low,1K
00009_1K_low_pipeline_2.png,0.948208,33.874,pipeline_2,low,1K
00009_1K_low_pipeline_3.png,0.980365,41.1219,pipeline_3,low,1K
00009_1K_low_pipeline_4.png,0.947758,34.799,pipeline_4,low,1K
00009_1K_low_pipeline_5.png,0.940188,33.0845,pipeline_5,low,1K
00009_1K_low_pipeline_6.png,0.947438,34.8608,pipeline_6,low,1K
00009_1K_medium_pipeline_1.png,0.948178,34.596,pipeline_1,medium,1K
00009_1K_medium_pipeline_2.png,0.953104,34.0841,pipeline_2,medium,1K
00009_1K_medium_pipeline_3.png,0.98245,41.8187,pipeline_3,medium,1K
00009_1K_medium_pipeline_4.png,0.95374,35.5227,pipeline_4,medium,1K
00009_1K_medium_pipeline_5.png,0.964937,36.0995,pipeline_5,medium,1K
00009_1K_medium_pipeline_6.png,0.938159,33.2734,pipeline_6,medium,1K
00009_SD_high_pipeline_1.png,0.970135,36.1592,pipeline_1,high,SD
00009_SD_high_pipeline_2.png,0.964557,34.8722,pipeline_2,high,SD
00009_SD_high_pipeline_3.png,0.975642,37.7932,pipeline_3,high,SD
00009_SD_high_pipeline_4.png,0.957555,35.8073,pipeline_4,high,SD
00009_SD_high_pipeline_5.png,0.974096,37.0579,pipeline_5,high,SD
00009_SD_high_pipeline_6.png,0.972344,37.7725,pipeline_6,high,SD
00009_SD_low_pipeline_1.png,0.934836,33.4089,pipeline_1,low,SD
00009_SD_low_pipeline_2.png,0.947201,33.3456,pipeline_2,low,SD
